Profile ID	Gene	(Sub)Type specificity
mkCas0175	cmr1gr7	CAS-III-C
cd09682	cmr4gr7	CAS-III-B
COG1336	cmr4gr7	CAS-III-C
cd09661	cmr6gr7	CAS-III-B
COG1604	cmr6gr7	CAS-III-B
mkCas0142	cmr6gr7	CAS-III-C
mkCas0143	cmr8gr7	CAS-III-B
pfam09617	csb1gr7	CAS-I-U
cd09709	csc2gr7	CAS-I-D
cd09706	csf2gr7	CAS-IV
mkCas0162	csf2gr7	CAS-IV
mkCas0183	csf2gr7	CAS-IV
cd09683	csm3gr7	"CAS-III-A,CAS-III-D"
cd09684	csm3gr7	"CAS-III-A,CAS-III-D"
cd09726	csm3gr7	CAS-III-D
cls000184	csm3gr7	CAS-III-D
cls000253	csm3gr7	"CAS-III-A,CAS-III-D"
cls000670	csm3gr7	CAS-III-D
cls000708	csm3gr7	CAS-III-D
cls001827	csm3gr7	CAS-III-D
COG1337	csm3gr7	CAS-III-D
mkCas0095	csm3gr7	CAS-III-A
mkCas0198	csm3gr7	"CAS-III-A,CAS-III-D"
pfam03787	csm3gr7	"CAS-III-A,CAS-III-D"
cd09662	csm5gr7	CAS-III-A
COG1332	csm5gr7	CAS-III-A
mkCas0182	csm5gr7	CAS-III-A
cd09679	cas10	CAS-III
cd09680	cas10	CAS-III
cd09701	cas10	CAS-III-C
cls000686	cas10	CAS-III
cls000707	cas10	CAS-III
cls000742	cas10	CAS-III
COG1353	cas10	CAS-III
mkCas0083	cas10	CAS-III
mkCas0133	cas10	CAS-III
mkCas0168	cas10	CAS-III-A
pfam12469	cas10	CAS-III-B
cd09712	cas10d	CAS-I-D
cls000132	cas10d	CAS-I-D
cls000621	cas10d	CAS-I-D
cls000672	cas10d	CAS-I-D
mkCas0103	cas10d	CAS-I-D
mkCas0140	cas10d	CAS-I-D
mkCas0201	cas10d	CAS-I-D
cd09698	cas8a1	CAS-I-A
cd09724	cas8a1	CAS-I-A
cd09745	cas8a1	CAS-I-A
cls000150	cas8a1	CAS-I-A
pfam09658	cas8a1	CAS-I-A
cd09666	cas8a2	CAS-I-A
cd09751	cas8a2	CAS-I-A
mkCas0113	cas8a2	CAS-I-A
mkCas0199	cas8a2	CAS-I-A
pfam09703	cas8a2	CAS-I-A
cls000290	cas8a3	CAS-I-A
mkCas0164	cas8a3	CAS-I-A
mkCas0207	cas8a3	CAS-I-A
mkCas0208	cas8a3	CAS-I-A
cls000706	cas8a4	CAS-I-A
cls000809	cas8a5	CAS-I-A
cls000881	cas8a6	CAS-I-A
cls000157	cas8a7	CAS-I-A
mkCas0180	cas8a8	CAS-I-A
cd09672	cas8b1	CAS-I-B
cd09691	cas8b1	CAS-I-B
cd09730	cas8b1	CAS-I-B
mkCas0074	cas8b1	CAS-I-B
mkCas0106	cas8b1	CAS-I-B
mkCas0119	cas8b1	CAS-I-B
mkCas0174	cas8b1	CAS-I-B
mkCas0195	cas8b1	CAS-I-B
mkCas0209	cas8b1	CAS-I-B
pfam09484	cas8b1	CAS-I-B
mkCas0151	cas8b10	CAS-I-B
cd09665	cas8b2	CAS-I-B
cd09697	cas8b2	CAS-I-B
cd09744	cas8b2	CAS-I-B
cd09754	cas8b2	CAS-I-B
cls000029	cas8b2	CAS-I-B
cls000100	cas8b2	CAS-I-B
pfam09657	cas8b2	CAS-I-B
pfam09706	cas8b2	CAS-I-B
cd09713	cas8b3	CAS-I-B
cd09714	cas8b3	CAS-I-B
mkCas0177	cas8b3	CAS-I-B
cd09715	cas8b4	CAS-I-B
mkCas0131	cas8b5	CAS-I-B
mkCas0111	cas8b6	CAS-I-B
mkCas0158	cas8b7	CAS-I-B
cls000685	cas8b8	CAS-I-B
mkCas0203	cas8b9	CAS-I-B
cd09642	cas8c	CAS-I-C
cd09757	cas8c	CAS-I-C
mkCas0173	cas8c	CAS-I-C
pfam09709	cas8c	CAS-I-C
cd09669	cas8e	CAS-I-E
cd09729	cas8e	CAS-I-E
cls000028	cas8e	CAS-I-E
cls000721	cas8e	CAS-I-E
pfam09481	cas8e	CAS-I-E
cd09675	cas8f	CAS-I-F
cd09735	cas8f	CAS-I-F
cls000148	cas8f	CAS-I-F
cls000849	cas8f	CAS-I-F
pfam09611	cas8f	CAS-I-F
cd09767	cas8u1	CAS-I-U
mkCas0114	cas8u1	CAS-I-U
cd09765	cas8u2	CAS-I-U
cls001042	cas8u2	CAS-I-U
cd09705	csf1gr8	CAS-IV
mkCas0068	csf1gr8	CAS-IV
mkCas0185	csf1gr8	CAS-IV
mkCas0210	csf1gr8	CAS-IV
mkCas0150	cas11b	CAS-I-B
mkCas0094	cas11d	CAS-I-D
cd09654	cmr5gr11	CAS-III-B
cd09749	cmr5gr11	CAS-III-B
cls000022	cmr5gr11	CAS-III-B
cls000190	cmr5gr11	CAS-III-B
cls001851	cmr5gr11	CAS-III-B
COG3337	cmr5gr11	CAS-III-B
mkCas0060	cmr5gr11	CAS-III-C
mkCas0065	cmr5gr11	CAS-III-B
mkCas0098	cmr5gr11	CAS-III-B
mkCas0117	cmr5gr11	CAS-III-C
mkCas0172	cmr5gr11	CAS-III-B
mkCas0190	cmr5gr11	CAS-III-B
mkCas0205	cmr5gr11	CAS-III-B
pfam09701	cmr5gr11	CAS-III-B
cd09653	csa5gr11	CAS-I-A
